"symbolid","pricedatetime","open","high","low","close"
900745,2018-02-16,1.24057,1.2412,1.2403,1.24106
900745,2018-02-18,1.2402,1.24351,1.23957,1.2415
900745,2018-02-19,1.24154,1.2427,1.2368,1.23874
900745,2018-02-20,1.23872,1.23966,1.23168,1.23216
900745,2018-02-21,1.23218,1.23599,1.2264,1.22727
900745,2018-02-22,1.229,1.2352,1.22638,1.23013
900745,2018-02-23,1.22942,1.22984,1.2288,1.22937
900745,2018-02-25,1.22932,1.23189,1.228,1.2312
900745,2018-02-26,1.23122,1.23552,1.2277,1.2324
900745,2018-02-27,1.2323,1.23464,1.2214,1.22239
900745,2018-02-28,1.22269,1.22417,1.2182,1.21927
900745,2018-03-01,1.21924,1.22877,1.2154,1.22779
900745,2018-03-02,1.23251,1.2328,1.23146,1.23177
900745,2018-03-04,1.23343,1.23641,1.2299,1.23216
900745,2018-03-05,1.23215,1.23628,1.22686,1.23468
900745,2018-03-06,1.23469,1.24286,1.23278,1.2415
900745,2018-03-07,1.24084,1.24453,1.2384,1.24058
900745,2018-03-08,1.24058,1.2446,1.2294,1.23134
900745,2018-03-09,1.23065,1.23091,1.2302,1.2304
900745,2018-03-11,1.2311,1.23233,1.2304,1.23226
900745,2018-03-12,1.23022,1.23455,1.2289,1.23318
900745,2018-03-13,1.2331,1.24118,1.2313,1.24042
900745,2018-03-14,1.24043,1.24126,1.2346,1.23796
900745,2018-03-15,1.23795,1.2383,1.2293,1.23078
900745,2018-03-16,1.2306,1.23362,1.22599,1.22888
900745,2018-03-18,1.22828,1.22918,1.2263,1.2271
900745,2018-03-19,1.22713,1.23586,1.2257,1.23452
900745,2018-03-20,1.23452,1.23546,1.2238,1.22631
900745,2018-03-21,1.2263,1.23691,1.22508,1.23632
900745,2018-03-22,1.23634,1.23883,1.2285,1.23345
900745,2018-03-23,1.23344,1.23733,1.2316,1.23526
900745,2018-03-25,1.235,1.23832,1.23478,1.23731
900745,2018-03-26,1.23731,1.24615,1.23587,1.24514
900745,2018-03-27,1.24516,1.24766,1.23719,1.24212
900745,2018-03-28,1.2419,1.24212,1.2298,1.2326
900745,2018-03-29,1.23278,1.23355,1.2282,1.23108
900745,2018-03-30,1.23137,1.2331,1.2304,1.23148
900745,2018-04-01,1.23196,1.23283,1.2309,1.2319
900745,2018-04-02,1.2317,1.23449,1.22811,1.23054
900745,2018-04-03,1.23055,1.23361,1.2253,1.22814
900745,2018-04-04,1.22822,1.23145,1.2255,1.22845
900745,2018-04-05,1.22845,1.22853,1.2217,1.2241
900745,2018-04-06,1.22421,1.22908,1.22148,1.22799
900745,2018-04-08,1.22837,1.22848,1.2264,1.22722
900745,2018-04-09,1.22725,1.23306,1.2259,1.23147
900745,2018-04-10,1.23148,1.23776,1.2302,1.23625
900745,2018-04-11,1.2363,1.23962,1.2346,1.23677
900745,2018-04-12,1.23683,1.23739,1.2298,1.23297
900745,2018-04-13,1.2329,1.2346,1.2306,1.23287
